//use: NPCid - x y plane (optional: MapAreaName canBeAttackFromOutOfArea?)
61 - 3211 9621 0 NORTHWEST
//Sorceress Garden NPC's
5533 - 2904 5460 0 NORTHWEST
5553 - 2899 5468 0 NORTHWEST
5535 - 2903 5449 0 NORTHWEST
5555 - 2898 5478 0 NORTHWEST
5556 - 2896 5482 0 NORTHWEST
5562 - 2913 5462 0 NORTHWEST
5563 - 2911 5474 0 NORTHWEST
5547 - 2907 5486 0 NORTHWEST
5550 - 2915 5483 0 NORTHWEST
5539 - 2922 5464 0 NORTHWEST
5551 - 2922 5486 0 NORTHWEST
5540 - 2924 5462 0 NORTHWEST
5562 - 2900 5458 0 NORTHWEST
5558 - 2894 5485 0 NORTHWEST
5554 - 2894 5470 0 NORTHWEST
5557 - 2894 5483 0 NORTHWEST
5541 - 2924 5458 0 NORTHWEST
5537 - 2905 5457 0 NORTHWEST
5562 - 2908 5455 0 NORTHWEST
5536 - 2905 5451 0 NORTHWEST
5538 - 2912 5455 0 NORTHWEST
5534 - 2900 5455 0 NORTHWEST
5549 - 2910 5491 0 NORTHWEST
5545 - 2925 5471 0 NORTHWEST
5548 - 2907 5492 0 NORTHWEST
5552 - 2921 5493 0 NORTHWEST
5544 - 2931 5469 0 NORTHWEST
5546 - 2931 5475 0 NORTHWEST
5542 - 2930 5458 0 NORTHWEST
5562 - 2910 5455 0 NORTHWEST
5562 - 2913 5452 0 NORTHWEST
5562 - 2914 5453 0 NORTHWEST
//camelot castle, catherbay, white wolf mountain, 
//taverley, heroes guild, warriors guild
//RSBOT DUMPED - Sir Kay, 0
241 - 2762 3498 0 NORTHWEST
//RSBOT DUMPED - Gourmet impling, 0
1030 - 2768 3470 0 NORTHWEST
//RSBOT DUMPED - Sir Gawain, 0
240 - 2704 3424 0 NORTHWEST
//RSBOT DUMPED - Sir Palomedes, 0
3787 - 2754 3509 0 NORTHWEST
//RSBOT DUMPED - King Arthur, 0
251 - 2761 3512 0 NORTHWEST
//RSBOT DUMPED - Sir Lucan, 0
245 - 2755 3517 0 NORTHWEST
//RSBOT DUMPED - Highwayman, 5
180 - 2744 3519 0 NORTHWEST
//RSBOT DUMPED - Sir Tristram, 0
243 - 2756 3513 1 NORTHWEST
